seqnum,i,lat,lon,f-i,forward_angle,wind,wind_u,wind_v,landfall,time,tracknum
1,1,18.8,-63.6,132,303.5181040201022,27.900000000000002,15.406392405074318,-23.26054756580052,0,1932-08-30 18:00:00,1932244N19296
1,2,19.05,-64.0,131,303.55864486111415,27.900000000000002,15.422847039600386,-23.249640625030956,0,1932-08-30 21:00:00,1932244N19296
1,3,19.3,-64.4,130,303.5997709004214,27.900000000000002,15.439531303638034,-23.23856435161134,0,1932-08-31 00:00:00,1932244N19296
1,4,19.55,-64.80000000000001,129,303.641484788393,30.225,16.744483083946733,-25.162927318804183,0,1932-08-31 03:00:00,1932244N19296
1,5,19.8,-65.2,128,298.06986474818416,32.550000000000004,15.316332621843465,-28.721289229716934,0,1932-08-31 06:00:00,1932244N19296
1,6,20.0,-65.60000000000001,127,298.10070730022295,34.875,16.426919131323867,-30.763971669031065,0,1932-08-31 09:00:00,1932244N19296
1,7,20.2,-66.0,126,289.61167197072604,37.2,12.485937209780081,-35.04199440661775,0,1932-08-31 12:00:00,1932244N19296
1,8,20.3,-66.3,125,289.6235900257781,39.525,13.274052625396303,-37.229358736059496,0,1932-08-31 15:00:00,1932244N19296
1,9,20.4,-66.6,124,293.1614982124764,41.85,16.460616824479978,-38.476883888351026,0,1932-08-31 18:00:00,1932244N19296
1,10,20.5,-66.85,123,293.1752064161964,44.175000000000004,17.38481218954917,-40.610330337662894,0,1932-08-31 21:00:00,1932244N19296
1,11,20.6,-67.1,122,282.1064986752757,46.5,9.752420119600163,-45.465814650249236,0,1932-09-01 00:00:00,1932244N19296
1,12,20.65,-67.35,121,282.1104522744674,46.5,9.755557388682595,-45.46514159261049,0,1932-09-01 03:00:00,1932244N19296
1,13,20.7,-67.6,120,298.1680174518395,46.5,21.95073173595165,-40.99286982215669,0,1932-09-01 06:00:00,1932244N19296
1,14,20.8,-67.8,119,298.1839786001174,46.5,21.96215045597125,-40.986753315544306,0,1932-09-01 09:00:00,1932244N19296
1,15,20.9,-68.0,118,305.54823752833397,46.5,27.034549286052965,-37.83362452766022,0,1932-09-01 12:00:00,1932244N19296
1,16,21.0,-68.15,117,305.56651390947616,46.5,27.046616194510282,-37.82499904067222,0,1932-09-01 15:00:00,1932244N19296
1,17,21.1,-68.3,116,305.5848889524406,46.5,27.058745469721686,-37.81632311059361,0,1932-09-01 18:00:00,1932244N19296
1,18,21.200000000000003,-68.44999999999999,115,305.60336284015483,48.825,28.42448404564463,-39.69797641869034,0,1932-09-01 21:00:00,1932244N19296
1,19,21.3,-68.6,114,305.62193575661814,51.150000000000006,29.791510561213666,-41.57870126015356,0,1932-09-02 00:00:00,1932244N19296
1,20,21.400000000000002,-68.75,113,305.6406078868813,51.150000000000006,29.80505906823012,-41.5689902925163,0,1932-09-02 03:00:00,1932244N19296
1,21,21.5,-68.9,112,305.6593794170627,51.150000000000006,29.81867650912478,-41.559223179026944,0,1932-09-02 06:00:00,1932244N19296
1,22,21.6,-69.05000000000001,111,305.6782505343568,53.475,31.18837946586673,-43.438008832048254,0,1932-09-02 09:00:00,1932244N19296
1,23,21.7,-69.2,110,293.34583714006465,55.800000000000004,22.11243188403622,-51.23163433049798,0,1932-09-02 12:00:00,1932244N19296
1,24,21.8,-69.45,109,293.3605734186835,58.125,23.047508076802316,-53.36035978560988,0,1932-09-02 15:00:00,1932244N19296
1,25,21.9,-69.7,108,280.24114077472177,60.45,10.747489426763524,-59.486922689122245,0,1932-09-02 18:00:00,1932244N19296
1,26,21.95,-70.0,107,280.2447698258971,62.775000000000006,11.164767134841243,-61.77417421402548,0,1932-09-02 21:00:00,1932244N19296
1,27,22.0,-70.3,106,287.1981663019362,65.10000000000001,19.248603759098135,-62.189237439650555,0,1932-09-03 00:00:00,1932244N19296
1,28,22.1,-70.65,105,287.2098835896748,69.75,20.63713005222372,-66.62710682002938,0,1932-09-03 03:00:00,1932244N19296
1,29,22.2,-71.0,104,293.4203256030228,74.4,29.572023779318435,-68.27045781006179,0,1932-09-03 06:00:00,1932244N19296
1,30,22.3,-71.25,103,293.43546647152374,76.72500000000001,30.514753254234563,-70.39584830679422,0,1932-09-03 09:00:00,1932244N19296
1,31,22.4,-71.5,102,309.1026177029793,79.05,49.85772529438635,-61.34419066602401,0,1932-09-03 12:00:00,1932244N19296
1,32,22.549999999999997,-71.7,101,309.1333395666506,83.7,52.825352545987236,-64.92435697326667,0,1932-09-03 15:00:00,1932244N19296
1,33,22.7,-71.9,100,317.35195713342074,88.35000000000001,64.9840104491476,-59.85650245332645,0,1932-09-03 18:00:00,1932244N19296
1,34,22.85,-72.05000000000001,99,317.3836369833607,90.67500000000001,66.72807244967777,-61.39478782560095,0,1932-09-03 21:00:00,1932244N19296
1,35,23.0,-72.2,98,323.6965570021014,93.0,74.94802163428582,-55.06172947798339,0,1932-09-04 00:00:00,1932244N19296
1,36,23.25,-72.4,97,323.7482143100497,97.65,78.74751599064054,-57.743841449143424,0,1932-09-04 03:00:00,1932244N19296
1,37,23.5,-72.6,96,312.348611119301,102.30000000000001,68.91335072613433,-75.60582048821905,0,1932-09-04 06:00:00,1932244N19296
1,38,23.75,-72.9,95,312.4039703652337,104.625,70.55424099800692,-77.25600107561328,0,1932-09-04 09:00:00,1932244N19296
1,39,24.0,-73.2,94,298.7930428973008,106.95,51.51217505408134,-93.72725495392298,0,1932-09-04 12:00:00,1932244N19296
1,40,24.2,-73.60000000000001,93,298.8315666376563,109.275,52.696382053537015,-95.72939435443882,0,1932-09-04 15:00:00,1932244N19296
1,41,24.4,-74.0,92,292.475586913149,111.60000000000001,42.66353531512,-103.12314364106396,0,1932-09-04 18:00:00,1932244N19296
1,42,24.549999999999997,-74.4,91,292.50020700756096,113.92500000000001,43.59759030706954,-105.25281822553218,0,1932-09-04 21:00:00,1932244N19296
1,43,24.7,-74.8,90,298.92956759121057,116.25,56.23408958358407,-101.74374510850994,0,1932-09-05 00:00:00,1932244N19296
1,44,24.9,-75.2,89,298.9694498626383,118.575,57.43099537884695,-103.73866875372394,0,1932-09-05 03:00:00,1932244N19296
1,45,25.1,-75.6,88,299.00972483436664,120.9,58.63142979211168,-105.73157258138498,0,1932-09-05 06:00:00,1932244N19296
1,46,25.3,-76.0,87,299.050394572335,123.22500000000001,59.83543597834709,-107.72242675636828,0,1932-09-05 09:00:00,1932244N19296
1,47,25.5,-76.4,86,312.81006474533615,125.55000000000001,85.32003646640864,-92.10479834064402,0,1932-09-05 12:00:00,1932244N19296
1,48,25.75,-76.7,85,312.87076548456037,127.875,86.99937374241287,-93.71832581426091,0,1932-09-05 15:00:00,1932244N19296
1,49,26.0,-77.0,84,324.35549035767735,130.20000000000002,105.80680858857698,-75.87462854143166,0,1932-09-05 18:00:00,1932244N19296
1,50,26.25,-77.2,83,324.41427729164803,130.20000000000002,105.88460218985975,-75.76602813329436,1,1932-09-05 21:00:00,1932244N19296
1,51,26.5,-77.4,82,340.34617597179033,130.20000000000002,122.61479691245727,-43.79099882529358,0,1932-09-06 00:00:00,1932244N19296
1,52,26.75,-77.5,81,340.3862878117953,130.20000000000002,122.64542422562886,-43.70514748305438,0,1932-09-06 03:00:00,1932244N19296
1,53,27.0,-77.6,80,19.573235498074894,130.20000000000002,122.67626918607519,43.61849353870012,0,1932-09-06 06:00:00,1932244N19296
1,54,27.25,-77.5,79,19.532394234475305,130.20000000000002,122.707329912815,43.531037038733416,0,1932-09-06 09:00:00,1932244N19296
1,55,27.5,-77.4,78,16.426913441908027,130.20000000000002,124.8853980956369,36.81952393084808,0,1932-09-06 12:00:00,1932244N19296
1,56,27.8,-77.30000000000001,77,16.383773715220855,127.875,122.6824944204214,36.06967130129233,0,1932-09-06 15:00:00,1932244N19296
1,57,28.1,-77.2,76,23.735406913974884,125.55000000000001,114.93023121091657,50.53557612024683,0,1932-09-06 18:00:00,1932244N19296
1,58,28.4,-77.05000000000001,75,23.675281858999824,125.55000000000001,114.98319895225038,50.41494281170227,0,1932-09-06 21:00:00,1932244N19296
1,59,28.7,-76.9,74,30.233481205314945,125.55000000000001,108.47277827158572,63.217551945985726,0,1932-09-07 00:00:00,1932244N19296
1,60,29.0,-76.7,73,30.160662520401047,123.22500000000001,106.54279406538186,61.911498590662745,0,1932-09-07 03:00:00,1932244N19296
1,61,29.3,-76.5,72,40.99450629387911,120.9,91.25199305346992,79.30878743096177,0,1932-09-07 06:00:00,1932244N19296
1,62,29.55,-76.25,71,40.92384853312785,120.9,91.34972807502541,79.19619423065049,0,1932-09-07 09:00:00,1932244N19296
1,63,29.8,-76.0,70,50.93409175400234,120.9,76.1928650848107,93.86936300075674,0,1932-09-07 12:00:00,1932244N19296
1,64,30.15,-75.5,69,50.83335085377951,118.575,74.8893748936606,91.93265009253653,0,1932-09-07 15:00:00,1932244N19296
1,65,30.5,-75.0,68,44.88193389246021,116.25,82.37037586509456,82.03160171447982,0,1932-09-07 18:00:00,1932244N19296
1,66,31.1,-74.3,67,44.69782204330801,111.60000000000001,79.32820516560241,78.49583342575639,0,1932-09-07 21:00:00,1932244N19296
1,67,31.7,-73.6,66,40.01458179127019,106.95,81.91095462871537,68.76698344272876,0,1932-09-08 00:00:00,1932244N19296
1,68,32.6,-72.69999999999999,65,39.72501121439262,104.625,80.46924713624493,66.86621636017652,0,1932-09-08 03:00:00,1932244N19296
1,69,33.5,-71.8,64,34.9348297312705,102.30000000000001,83.86594107811598,58.58151523374911,0,1932-09-08 06:00:00,1932244N19296
1,70,34.5,-70.94999999999999,63,34.60574500269513,97.65,80.37370606134289,55.45800099142463,0,1932-09-08 09:00:00,1932244N19296
1,71,35.5,-70.1,62,15.86245423551486,93.0,89.458618381248,25.419590817285734,0,1932-09-08 12:00:00,1932244N19296
1,72,36.35,-69.8,61,15.696140517886818,88.35000000000001,85.05542603236692,23.90182006568874,0,1932-09-08 15:00:00,1932244N19296
1,73,37.2,-69.5,60,9.596295461179523,83.7,82.52877063950518,13.953208116126822,0,1932-09-08 18:00:00,1932244N19296
1,74,37.900000000000006,-69.35,59,9.505990789780355,81.375,80.25758608061177,13.439140653821264,0,1932-09-08 21:00:00,1932244N19296
1,75,38.6,-69.2,58,40.72386986703788,79.05,59.909038620971735,51.573341868749566,0,1932-09-09 00:00:00,1932244N19296
1,76,39.05,-68.7,57,40.54178414654996,79.05,60.07263565534648,51.38269110722008,0,1932-09-09 03:00:00,1932244N19296
1,77,39.5,-68.2,56,48.900522318833225,79.05,51.96497013423885,59.569659886117066,0,1932-09-09 06:00:00,1932244N19296
1,78,39.9,-67.6,55,48.73332375271889,76.72500000000001,50.60509502616028,57.670182784462284,0,1932-09-09 09:00:00,1932244N19296
1,79,40.3,-67.0,54,53.76696685361122,74.4,43.97566841644582,60.012503591558406,0,1932-09-09 12:00:00,1932244N19296
1,80,40.849999999999994,-66.0,53,53.537126049107826,74.4,44.21605282939898,59.83561374455684,0,1932-09-09 15:00:00,1932244N19296
1,81,41.4,-65.0,52,61.42467007936017,74.4,35.58654499684847,65.33726207293417,0,1932-09-09 18:00:00,1932244N19296
1,82,41.9,-63.75,51,61.233543183426036,72.075,34.68541390064509,63.1801209839055,0,1932-09-09 21:00:00,1932244N19296
1,83,42.4,-62.5,50,65.40986333415248,69.75,29.02466736014468,63.42421607424842,0,1932-09-10 00:00:00,1932244N19296
1,84,42.65,-61.75,49,65.32207605855075,69.75,29.121810378613773,63.37967071760521,0,1932-09-10 03:00:00,1932244N19296
1,85,42.9,-61.0,48,63.72458621235273,69.75,30.877380475628488,62.54318408078755,0,1932-09-10 06:00:00,1932244N19296
1,86,43.15,-60.3,47,63.630926264790446,67.425,29.946924357205738,60.4095385394045,0,1932-09-10 09:00:00,1932244N19296
1,87,43.4,-59.6,46,67.3675114305978,65.10000000000001,25.05170069359373,60.08678966593736,0,1932-09-10 12:00:00,1932244N19296
1,88,43.55,-59.1,45,67.31664777648359,65.10000000000001,25.105032155764484,60.06452663975662,0,1932-09-10 15:00:00,1932244N19296
1,89,43.7,-58.6,44,80.04840646671738,65.10000000000001,11.250328030135094,64.12051246843211,0,1932-09-10 18:00:00,1932244N19296
1,90,43.75,-58.2,43,80.04023859253084,62.775000000000006,10.857344816541442,61.82894701136937,0,1932-09-10 21:00:00,1932244N19296
1,91,43.8,-57.8,42,70.74184463341487,60.45,19.937922559602672,57.067343936854876,0,1932-09-11 00:00:00,1932244N19296
