seqnum,i,lat,lon,f-i,forward_angle,wind,wind_u,wind_v,landfall,time,tracknum
2,22,-15.948214285714286,160.6482142857143,71,3.116723109544637,30.0,29.955625308927406,1.6311077067894209,0,1970-01-05 15:00:00,1970003S16165
2,23,-15.85357142857143,160.65357142857144,70,3.118177990312347,30.0,29.95558388143348,1.6318683532695522,0,1970-01-05 18:00:00,1970003S16165
2,24,-15.758928571428573,160.65892857142856,69,3.1196243758049036,30.0,29.955542676695305,1.632624557173552,0,1970-01-05 21:00:00,1970003S16165
2,25,-15.664285714285715,160.6642857142857,68,3.1210622620845925,30.0,29.95550169516154,1.6333763164605424,0,1970-01-06 00:00:00,1970003S16165
2,26,-15.569642857142858,160.66964285714286,67,3.122491645311527,30.0,29.955460937276264,1.634123629140713,0,1970-01-06 03:00:00,1970003S16165
2,27,-15.475000000000001,160.675,66,3.1239125216382035,30.0,29.955420403482005,1.6348664932201895,0,1970-01-06 06:00:00,1970003S16165
2,28,-15.380357142857143,160.68035714285713,65,3.125324887314548,30.0,29.95538009421673,1.6356049067559566,0,1970-01-06 09:00:00,1970003S16165
2,29,-15.285714285714286,160.68571428571428,64,3.1267287384651468,30.0,29.955340009920192,1.6363388677393864,0,1970-01-06 12:00:00,1970003S16165
2,30,-15.19107142857143,160.69107142857143,63,3.128124071370621,30.0,29.9553001510259,1.6370683742433485,0,1970-01-06 15:00:00,1970003S16165
2,31,-15.096428571428572,160.69642857142856,62,3.1295108823202327,30.0,29.955260517965318,1.6377934243451469,0,1970-01-06 18:00:00,1970003S16165
2,32,-15.001785714285715,160.7017857142857,61,3.1308891675514587,30.0,29.955221111169593,1.6385140160949303,0,1970-01-06 21:00:00,1970003S16165
2,33,-14.907142857142858,160.70714285714286,60,3.1322589233993767,30.0,29.955181931065276,1.6392301475937905,0,1970-01-07 00:00:00,1970003S16165
2,34,-14.8125,160.7125,59,3.1336201461473365,30.0,29.955142978078594,1.6399418169156923,0,1970-01-07 03:00:00,1970003S16165
2,35,-14.717857142857143,160.71785714285716,58,3.1349728321761177,30.0,29.95510425263117,1.6406490221854544,0,1970-01-07 06:00:00,1970003S16165
2,36,-14.623214285714287,160.72321428571428,57,3.136316977889578,30.0,29.95506575514215,1.6413517615398772,0,1970-01-07 09:00:00,1970003S16165
2,37,-14.528571428571428,160.72857142857143,56,3.1376525796550823,30.0,29.95502748602991,1.6420500330965961,0,1970-01-07 12:00:00,1970003S16165
2,38,-14.433928571428572,160.73392857142858,55,3.1389796338476117,30.0,29.954989445710787,1.6427438349771444,0,1970-01-07 15:00:00,1970003S16165
2,39,-14.339285714285715,160.7392857142857,54,3.1402981369995473,30.0,29.954951634594767,1.6434331653852605,0,1970-01-07 18:00:00,1970003S16165
2,40,-14.244642857142857,160.74464285714285,53,3.1416080855174187,30.0,29.95491405309363,1.644118022458799,0,1970-01-07 21:00:00,1970003S16165
2,41,-14.15,160.75,52,3.1429094759049576,30.0,29.954876701614516,1.6447984043863475,0,1970-01-08 00:00:00,1970003S16165
2,42,-14.055357142857144,160.75535714285715,51,3.1442023046889744,30.0,29.954839580562076,1.6454743093684716,0,1970-01-08 03:00:00,1970003S16165
2,43,-13.960714285714285,160.7607142857143,50,3.1454865683450066,30.0,29.954802690340586,1.6461457355788442,0,1970-01-08 06:00:00,1970003S16165
2,44,-13.866071428571429,160.76607142857142,49,3.1467622635204293,30.0,29.95476603134754,1.6468126812808888,0,1970-01-08 09:00:00,1970003S16165
2,45,-13.771428571428572,160.77142857142857,48,3.148029386736482,30.0,29.954729603982205,1.647475144671995,0,1970-01-08 12:00:00,1970003S16165
2,46,-13.676785714285714,160.77678571428572,47,3.1492879345975666,30.0,29.95469340863961,1.6481331239929427,0,1970-01-08 15:00:00,1970003S16165
2,47,-13.582142857142857,160.78214285714284,46,3.15053790377533,30.0,29.954657445710982,1.6487866175195784,0,1970-01-08 18:00:00,1970003S16165
2,48,-13.4875,160.7875,45,3.151779290890147,30.0,29.954621715587166,1.6494356235008547,0,1970-01-08 21:00:00,1970003S16165
2,49,-13.392857142857142,160.79285714285714,44,3.1530120925854135,30.0,29.954586218656488,1.6500801401976681,0,1970-01-09 00:00:00,1970003S16165
2,50,-13.298214285714286,160.7982142857143,43,3.154236305602467,30.0,29.954550955302572,1.650720165922031,0,1970-01-09 03:00:00,1970003S16165
2,51,-13.20357142857143,160.80357142857144,42,3.1554519266304624,30.0,29.954515925908684,1.651355698958583,0,1970-01-09 06:00:00,1970003S16165
2,52,-13.10892857142857,160.80892857142857,41,3.1566589524570645,30.0,29.954481130853367,1.651986737643374,0,1970-01-09 09:00:00,1970003S16165
